name,team_abb,team_name,ortg_month_before,ortg_bubble_seeding,drtg_month_before,drtg_bubble_seeding,netrtg_month_before,netrtg_bubble_seeding
Aaron Gordon,ORL,Orlando Magic,118.9,115.9,113.8,102.7,5.1,13.2
Aaron Holiday,IND,Indiana Pacers,102.4,107.5,104.2,104,-1.7,3.5
Al Horford,PHI,Philadelphia 76ers,119.4,115.9,115.6,114.8,3.9,1.1
Anfernee Simons,POR,Portland Trail Blazers,107.6,114.6,117.3,94.4,-9.7,20.1
Anthony Davis,LAL,Los Angeles Lakers,111.9,104.1,102.1,112.5,9.8,-8.4
Bam Adebayo,MIA,Miami Heat,112.2,116.5,110.2,106.8,2,9.7
Ben McLemore,HOU,Houston Rockets,117.7,100.5,112.2,107.7,5.5,-7.2
Ben Simmons,PHI,Philadelphia 76ers,107.1,108.1,104,115.4,3.1,-7.3
Bogdan Bogdanovic,SAC,Sacramento Kings,113.5,114.7,114.1,113.5,-0.5,1.1
Brandon Ingram,NOP,New Orleans Pelicans,111.7,102.2,101.1,113.8,10.6,-11.6
Brook Lopez,MIL,Milwaukee Bucks,103.4,114.5,97.1,105.7,6.3,8.9
Buddy Hield,SAC,Sacramento Kings,112.1,107.4,106,121.8,6.1,-14.5
CJ McCollum,POR,Portland Trail Blazers,114.8,121.3,114.5,122.7,0.4,-1.3
Cameron Johnson,PHX,Phoenix Suns,105.9,123.3,109.8,108.1,-3.9,15.2
Caris LeVert,BKN,Brooklyn Nets,110.4,117.6,108.4,115.5,1.9,2.1
Carmelo Anthony,POR,Portland Trail Blazers,113.2,118.1,114.5,115.9,-1.3,2.3
Chris Chiozza,BKN,Brooklyn Nets,103.1,114.5,103.6,106.5,-0.5,8
Chris Paul,OKC,Oklahoma City Thunder,117.5,110.3,108.6,101.9,8.9,8.4
Damian Lillard,POR,Portland Trail Blazers,113.9,123.8,114.8,121.7,-0.9,2.2
Daniel Theis,BOS,Boston Celtics,112,105.5,106.3,103.4,5.7,2.1
Danilo Gallinari,OKC,Oklahoma City Thunder,118.3,118.2,110.9,104.6,7.5,13.5
Danny Green,LAL,Los Angeles Lakers,110.1,100,103.9,115.7,6.3,-15.7
Danuel House Jr.,HOU,Houston Rockets,108.5,111.5,109,104.7,-0.5,6.9
Dario Saric,PHX,Phoenix Suns,113.1,114.9,117,110.9,-3.9,4
De'Aaron Fox,SAC,Sacramento Kings,114.1,109.8,117,120.8,-2.9,-11
DeMar DeRozan,SAS,San Antonio Spurs,112,116.8,116.6,111.5,-4.6,5.3
Deandre Ayton,PHX,Phoenix Suns,106.4,120.6,111.2,108.9,-4.8,11.6
Dejounte Murray,SAS,San Antonio Spurs,110.3,112.4,118,111.7,-7.6,0.7
Derrick Favors,NOP,New Orleans Pelicans,115.8,104.5,100.8,111.8,15,-7.3
Derrick Jones Jr.,MIA,Miami Heat,115.6,116.8,112,113.6,3.6,3.2
Derrick White,SAS,San Antonio Spurs,107.3,117.3,108,107.4,-0.7,9.9
Devin Booker,PHX,Phoenix Suns,114.7,124.9,116.1,109.4,-1.4,15.4
Dillon Brooks,MEM,Memphis Grizzlies,105.3,108.1,104.1,108.8,1.2,-0.7
Donovan Mitchell,UTA,Utah Jazz,109.4,108.2,116.4,104.8,-7,3.5
Donte DiVincenzo,MIL,Milwaukee Bucks,106.4,107.1,102.4,108.9,4,-1.8
